label_ID,x_nm,y_nm,oligomer_ID
104,566.29,4432.9,75
105,583.18,6686,44
106,583.18,6686,44
107,588.43,6756.5,44
108,588.43,6756.5,44
109,588.53,1131.4,184
110,588.53,1131.4,184
111,589.47,542.87,153
112,589.47,542.87,153
113,590.37,6344.7,43
114,590.37,6344.7,43
115,593.86,6294.8,43
116,593.86,6294.8,43
117,593.99,5152.9,3
118,593.99,5152.9,3
119,596.94,613.18,153
120,596.94,613.18,153
121,597.92,6110.3,47
122,597.92,6110.3,47
123,603.37,5202,3
124,603.37,5202,3
125,621.06,6718.6,44
126,621.06,6718.6,44
127,623.33,398.64,171
128,623.33,398.64,171
129,628.36,574.29,153
130,628.36,574.29,153
131,654.09,8976.3,52
132,654.09,8976.3,52
133,657.81,434.85,171
134,657.81,434.85,171
135,659.54,364.16,171
136,659.54,364.16,171
137,668.35,6818,162
138,668.35,6818,162
139,684.77,6865.2,162
140,684.77,6865.2,162
141,684.82,9015.7,52
142,684.82,9015.7,52
143,684.82,6170.7,18
144,684.82,6170.7,18
145,693.54,8945.6,52
146,693.54,8945.6,52
147,694.02,400.37,171
148,694.02,400.37,171
149,706.13,6216,18
150,706.13,6216,18
151,715.58,6801.6,162
152,715.58,6801.6,162
153,724.26,8985,52
154,724.26,8985,52
155,726.31,5659.3,238
156,726.31,5659.3,238
157,730.06,6149.4,18
158,730.06,6149.4,18
159,732,6848.8,162
160,732,6848.8,162
161,737.06,-56.778,196
162,737.06,-56.778,196
163,741.76,5611.7,238
164,741.76,5611.7,238
165,751.36,6194.6,18
166,751.36,6194.6,18
167,758.66,-11.686,196
168,758.66,-11.686,196
169,773.87,5674.7,238
170,773.87,5674.7,238
171,782.15,-78.382,196
172,782.15,-78.382,196
173,789.32,5627.2,238
174,789.32,5627.2,238
175,803.75,-33.29,196
176,803.75,-33.29,196
177,827.58,2243.2,164
178,827.58,2243.2,164
179,832.8,2193.5,164
180,832.8,2193.5,164
181,864.72,9446.8,115
182,864.72,9446.8,115
183,877.31,2248.4,164
184,877.31,2248.4,164
185,882.52,2198.7,164
186,882.52,2198.7,164
187,885.01,9401.1,115
188,885.01,9401.1,115
189,895.8,5217.5,100
190,895.8,5217.5,100
191,910.41,9467.1,115
192,910.41,9467.1,115
193,912.98,5170.5,100
194,912.98,5170.5,100
195,917.6,2739.3,130
196,917.6,2739.3,130
197,930.71,9421.4,115
198,930.71,9421.4,115
199,930.78,2787.5,130
200,930.78,2787.5,130
201,942.75,5234.6,100
202,942.75,5234.6,100
203,959.93,5187.7,100
204,959.93,5187.7,100
205,965.83,2726.1,130
206,965.83,2726.1,130
207,979.01,2774.3,130
208,979.01,2774.3,130
209,1062.3,2845.4,79
210,1062.3,2845.4,79
211,1090,8678.2,7
212,1090,8678.2,7
213,1094.1,8628.4,7
214,1094.1,8628.4,7
215,1095,2883.1,79
216,1095,2883.1,79
217,1100,2812.6,79
218,1100,2812.6,79
219,1132.8,2850.3,79
220,1132.8,2850.3,79
221,1139.8,8682.3,7
222,1139.8,8682.3,7
223,1143.9,8632.5,7
224,1143.9,8632.5,7
225,1249.3,6663.2,198
226,1249.3,6663.2,198
227,1263.3,6615.2,198
228,1263.3,6615.2,198
229,1297.3,6677.2,198
230,1297.3,6677.2,198
231,1311.3,6629.2,198
232,1311.3,6629.2,198
233,1392,8824,36
234,1392,8824,36
235,1406.3,8776.1,36
236,1406.3,8776.1,36
237,1439.9,8838.4,36
238,1439.9,8838.4,36
239,1442.1,9126.4,129
240,1442.1,9126.4,129
241,1454.2,8790.5,36
242,1454.2,8790.5,36
243,1469.3,9168.3,129
244,1469.3,9168.3,129
245,1484.1,9099.2,129
246,1484.1,9099.2,129
247,1507.9,6069.2,187
248,1507.9,6069.2,187
249,1511.3,9141.1,129
250,1511.3,9141.1,129
251,1520,6117.8,187
252,1520,6117.8,187
253,1556.4,6057.2,187
254,1556.4,6057.2,187
255,1568.5,6105.7,187
256,1568.5,6105.7,187
257,1625.8,4239.2,226
258,1625.8,4239.2,226
259,1640.6,4191.4,226
260,1640.6,4191.4,226
261,1673.5,4254,226
262,1673.5,4254,226
263,1688.3,4206.2,226
264,1688.3,4206.2,226
265,1715.4,9866,124
266,1715.4,9866,124
267,1724.8,9915.1,124
268,1724.8,9915.1,124
269,1734.5,6969.2,51
270,1734.5,6969.2,51
271,1735,7019.2,51
272,1735,7019.2,51
273,1741.8,3332.2,101
274,1741.8,3332.2,101
275,1763.2,3287,101
276,1763.2,3287,101
277,1764.5,9856.6,124
278,1764.5,9856.6,124
279,1773.9,9905.7,124
280,1773.9,9905.7,124
281,1784.5,6968.8,51
282,1784.5,6968.8,51
283,1785,7018.8,51
284,1785,7018.8,51
285,1787,3353.6,101
286,1787,3353.6,101
287,1808.4,3308.4,101
288,1808.4,3308.4,101
289,1851,3624.4,88
290,1851,3624.4,88
291,1865.3,3576.4,88
292,1865.3,3576.4,88
293,1868.1,5842.8,114
294,1868.1,5842.8,114
295,1887,3200.7,107
296,1887,3200.7,107
297,1897.1,5883.6,114
298,1897.1,5883.6,114
299,1898.9,3638.6,88
300,1898.9,3638.6,88
301,1908.9,5813.9,114
302,1908.9,5813.9,114
303,1913.2,3590.7,88
304,1913.2,3590.7,88
305,1918.8,6945.4,221
306,1918.8,6945.4,221
307,1919.9,3163,107
308,1919.9,3163,107
309,1924.6,3233.6,107
310,1924.6,3233.6,107
311,1937.4,6899,221
312,1937.4,6899,221
313,1937.9,5854.6,114
314,1937.9,5854.6,114
315,1957.6,3196,107
316,1957.6,3196,107
317,1965.3,6964,221
318,1965.3,6964,221
319,1983.8,6917.5,221
320,1983.8,6917.5,221
321,1997.5,7810.5,247
322,1997.5,7810.5,247
323,2010.5,5747.5,96
324,2010.5,5747.5,96
325,2011.7,7858.4,247
326,2011.7,7858.4,247
327,2035,5703.9,96
328,2035,5703.9,96
329,2036.8,3912,131
330,2036.8,3912,131
331,2045.5,7796.3,247
332,2045.5,7796.3,247
333,2053.1,3864.8,131
334,2053.1,3864.8,131
335,2054.1,5771.9,96
336,2054.1,5771.9,96
337,2059.7,7844.2,247
338,2059.7,7844.2,247
339,2078.6,5728.4,96
340,2078.6,5728.4,96
341,2084,3928.4,131
342,2084,3928.4,131
343,2092.1,578.81,118
344,2092.1,578.81,118
345,2100.4,3881.1,131
346,2100.4,3881.1,131
347,2111.3,3101.6,83
348,2111.3,3101.6,83
