label_ID,oligomer_ID,framenum,x_nm,y_nm
15,34,9887,-58.451,4893.6
15,34,9888,-52.33,4898.9
15,34,9889,-45.26,4907.6
15,34,9909,-49.543,4874.2
15,34,9928,-41.802,4890.6
15,34,9929,-43.156,4909.6
15,34,9930,-46.891,4905.9
15,34,9931,-50.07,4919.9
15,34,9934,-38.748,4896.1
15,34,9935,-47.739,4912.6
15,34,9949,-29.894,4883.1
15,34,9950,-58.794,4900.5
15,34,9951,-38.975,4905.9
15,34,9960,-46.73,4914.6
15,34,9972,-53.331,4882.9
15,34,9973,-51.381,4899.8
15,34,9974,-45.182,4919.4
15,34,9988,-28.612,4901.1
15,34,9995,-51.006,4903.3
15,34,9996,-35.297,4894.2
15,34,10000,-45.218,4895.5
15,34,10001,-29.957,4914.8
15,34,10013,-60.43,4918
15,34,10014,-39.942,4902.2
15,34,10015,-54.267,4896.5
15,34,10024,-51.024,4902.2
15,34,10025,-37.783,4912
15,34,10032,-56.828,4913.4
15,34,10033,-32.775,4911.1
15,34,10034,-66.349,4890.4
16,34,1840,-32.704,4911
16,34,1841,-47.325,4866
16,34,1865,-60.12,4907.9
16,34,1866,-42.424,4928.4
16,34,1867,-57.455,4904.5
16,34,1876,-59.476,4904.9
16,34,1877,-51.303,4889.8
16,34,1878,-32.534,4909.9
16,34,1881,-39.051,4885
16,34,1882,-38.616,4923.1
16,34,1883,-47.105,4894.8
16,34,1884,-39.272,4907.8
16,34,1885,-33.045,4901.8
17,148,2647,-35.791,5195.8
17,148,2648,-26.738,5220.4
17,148,2649,-22.836,5190.3
17,148,2662,-44.497,5188.4
17,148,2668,-9.0168,5188.1
17,148,2670,-19.331,5189.2
17,148,2671,-24.536,5192.1
17,148,2672,-19.876,5196.2
17,148,2674,-33.854,5184.9
17,148,2675,-8.9262,5201.2
17,148,2676,-31.77,5209.2
18,148,3231,-18.475,5203
18,148,3232,-26.602,5201.8
18,148,3235,-27.427,5193.8
18,148,3250,-34.03,5185.1
18,148,3252,-26.026,5195.6
18,148,3254,-30.236,5207.3
18,148,3260,-41.516,5208.4
18,148,3261,4.3471,5202.4
18,148,3262,-17.538,5197.3
18,148,3268,-24.921,5206.6
18,148,3269,-7.2847,5194.7
18,148,3270,-2.8644,5203.5
18,148,3271,-9.7701,5204.4
18,148,3276,-10.357,5209.4
18,148,3277,-5.8626,5198.1
18,148,3313,-14.211,5198.7
18,148,3314,-6.8916,5194.3
18,148,3315,-18.725,5196.4
18,148,3316,-28.304,5188.5
18,148,3317,-14.124,5195.7
18,148,3334,-22.163,5201.9
18,148,3335,-33.832,5198.8
18,148,3336,-22.553,5187.8
18,148,3337,-11.23,5176.6
19,34,5944,-31.627,4851.2
19,34,5945,-24.778,4841.9
19,34,5946,-19.926,4849.9
19,34,5947,-14.966,4858.1
19,34,5963,-27.352,4873.7
19,34,5964,-22.887,4848.4
19,34,5965,-32.842,4862.3
19,34,5975,-12.474,4853.5
19,34,5976,2.3839,4862.1
19,34,5980,-25.382,4847
19,34,5985,-36.208,4847
19,34,5986,-36.291,4850.5
19,34,6001,-18.247,4860.6
19,34,6002,6.4165,4860.1
19,34,6003,-37.572,4845.4
19,34,6004,-25.97,4860.5
19,34,6009,-15.428,4857.6
19,34,6010,-29.211,4850.7
19,34,6011,-44.297,4866.2
19,34,6017,-10.765,4864
19,34,6018,-20.581,4849.2
19,34,6019,-20.259,4856.5
19,34,6026,-24.126,4866
19,34,6027,-15.488,4854.7
19,34,6050,-23.233,4842.9
19,34,6051,-20.351,4848.1
19,34,6052,-20.294,4869.7
19,34,6069,-25.295,4858.1
19,34,6073,-21.549,4857
19,34,6081,-22.076,4874.8
19,34,6082,-20.251,4857.1
19,34,6083,-24.593,4864.2
19,34,6087,-22.239,4847.5
19,34,6088,-18.368,4851.1
19,34,6089,-7.4901,4852.8
19,34,6090,-21.875,4864.1
19,34,6091,-31.842,4844.6
19,34,6092,-24.188,4841.1
19,34,6093,-13.466,4850.4
19,34,6094,-18.074,4847.4
19,34,6101,-19.714,4853.1
19,34,6102,-18.107,4876.7
19,34,6111,-39.247,4847.8
19,34,6112,-44.665,4882.3
19,34,6113,-18.78,4876.1
19,34,6114,-20.907,4859.1
19,34,6115,-0.66529,4873.6
19,34,6117,-17.332,4873.7
19,34,6119,-9.3647,4854.8
19,34,6120,-32.269,4856.4
19,34,6121,-29.579,4857.1
